epoch; loss, validation loss; validation accuracy; validation mae
1; 0.4535; 0.3722; 29.0291; 0.4907
2; 0.3076; 0.3424; 29.9602; 0.4770
3; 0.2539; 0.3840; 23.0002; 0.4972
4; 0.2251; 0.2671; 32.0976; 0.4251
5; 0.2017; 0.1854; 37.9840; 0.3385
6; 0.1875; 0.1925; 36.6549; 0.3430
7; 0.1745; 0.2229; 35.2078; 0.3666
8; 0.1644; 0.1812; 39.7135; 0.3379
9; 0.1578; 0.1555; 41.1434; 0.3092
10; 0.1520; 0.1365; 45.0152; 0.2861
11; 0.1463; 0.1348; 45.1233; 0.2849
12; 0.1410; 0.1334; 45.7179; 0.2831
13; 0.1381; 0.1242; 47.2583; 0.2736
14; 0.1356; 0.1371; 44.9145; 0.2843
15; 0.1323; 0.1462; 43.8212; 0.3013
16; 0.1295; 0.1203; 47.3344; 0.2685
17; 0.1269; 0.1414; 44.8727; 0.2873
18; 0.1258; 0.1279; 46.3247; 0.2808
19; 0.1237; 0.1346; 45.1553; 0.2836
20; 0.1217; 0.1117; 49.3809; 0.2577
21; 0.1199; 0.1149; 48.5800; 0.2625
22; 0.1186; 0.1184; 48.1746; 0.2653
23; 0.1169; 0.1133; 48.5726; 0.2639
24; 0.1159; 0.1074; 49.6634; 0.2548
25; 0.1139; 0.1049; 50.8304; 0.2498
26; 0.1125; 0.1151; 49.2065; 0.2591
27; 0.1116; 0.1141; 47.6464; 0.2627
28; 0.1106; 0.1047; 50.0983; 0.2519
29; 0.1102; 0.1058; 50.5773; 0.2525
30; 0.1094; 0.1039; 50.3439; 0.2520
31; 0.1082; 0.1055; 50.6535; 0.2498
32; 0.1072; 0.1039; 50.4668; 0.2502
33; 0.1055; 0.1029; 51.1964; 0.2469
34; 0.1061; 0.1149; 48.4178; 0.2624
35; 0.1055; 0.1022; 51.5453; 0.2458
36; 0.1047; 0.1029; 51.4765; 0.2466
37; 0.1036; 0.1047; 51.1645; 0.2486
38; 0.1031; 0.1011; 51.4495; 0.2458
39; 0.1028; 0.1000; 52.0735; 0.2429
40; 0.1018; 0.1002; 51.8229; 0.2434
41; 0.1017; 0.0986; 51.9089; 0.2424
42; 0.1018; 0.0991; 51.7885; 0.2422
43; 0.0999; 0.1012; 51.5502; 0.2465
44; 0.0995; 0.1047; 51.2603; 0.2469
45; 0.0996; 0.0969; 52.3708; 0.2407
46; 0.0993; 0.0965; 52.1718; 0.2410
47; 0.0982; 0.0987; 52.0170; 0.2416
48; 0.0987; 0.0977; 52.3855; 0.2402
49; 0.0985; 0.0958; 52.5771; 0.2388
50; 0.0976; 0.0965; 52.5943; 0.2390
