epoch; loss, validation loss; validation accuracy; validation mae
1; 0.5639; 0.9945; 11.4460; 0.8086
2; 0.4252; 0.7298; 15.8977; 0.6820
3; 0.3691; 0.4075; 26.0490; 0.5262
4; 0.3324; 0.4095; 28.2306; 0.5026
5; 0.3038; 0.5161; 24.5553; 0.5404
6; 0.2793; 0.3528; 31.4932; 0.4537
7; 0.2619; 0.2876; 32.4194; 0.4196
8; 0.2481; 0.4518; 28.8227; 0.5360
9; 0.2350; 0.3330; 31.3163; 0.4673
10; 0.2255; 0.2924; 35.1734; 0.4171
11; 0.2156; 0.2346; 35.3970; 0.3776
12; 0.2089; 0.2316; 37.1585; 0.3705
13; 0.2022; 0.2166; 36.9300; 0.3581
14; 0.1956; 0.2085; 36.7851; 0.3676
15; 0.1897; 0.1931; 38.3353; 0.3518
16; 0.1856; 0.1926; 38.9569; 0.3451
17; 0.1805; 0.1772; 41.1901; 0.3287
18; 0.1782; 0.1783; 40.5587; 0.3311
19; 0.1742; 0.2031; 38.8537; 0.3543
20; 0.1722; 0.1778; 41.0623; 0.3235
21; 0.1689; 0.1581; 42.6002; 0.3063
22; 0.1662; 0.1708; 42.4405; 0.3201
23; 0.1624; 0.2633; 35.6304; 0.3962
24; 0.1622; 0.2349; 37.5221; 0.3779
25; 0.1596; 0.1648; 43.2120; 0.3103
26; 0.1586; 0.1742; 42.1310; 0.3234
27; 0.1566; 0.1644; 43.6837; 0.3073
28; 0.1551; 0.1633; 42.1261; 0.3177
29; 0.1529; 0.1460; 44.0546; 0.2945
30; 0.1520; 0.1532; 43.3545; 0.3058
31; 0.1507; 0.1574; 43.4822; 0.3093
32; 0.1494; 0.1567; 42.7771; 0.3125
33; 0.1481; 0.1420; 44.8875; 0.2912
34; 0.1471; 0.1396; 45.2634; 0.2886
35; 0.1457; 0.1539; 43.3643; 0.3072
36; 0.1452; 0.1459; 44.5878; 0.2961
37; 0.1439; 0.1384; 44.9170; 0.2866
38; 0.1429; 0.1398; 45.0767; 0.2903
39; 0.1423; 0.1370; 45.2879; 0.2850
40; 0.1416; 0.1360; 45.9513; 0.2843
41; 0.1408; 0.1705; 44.0497; 0.3143
42; 0.1404; 0.1621; 44.3937; 0.3081
43; 0.1388; 0.1333; 45.9095; 0.2825
44; 0.1385; 0.1320; 46.3763; 0.2796
45; 0.1379; 0.1320; 46.3714; 0.2799
46; 0.1375; 0.1323; 46.3714; 0.2798
47; 0.1368; 0.1389; 45.3911; 0.2867
48; 0.1368; 0.1417; 45.0029; 0.2921
49; 0.1360; 0.1394; 45.8088; 0.2891
50; 0.1350; 0.1306; 46.5409; 0.2797
51; 0.1342; 0.1268; 47.3442; 0.2753
52; 0.1340; 0.1285; 46.4402; 0.2779
53; 0.1342; 0.1344; 46.0544; 0.2844
54; 0.1333; 0.1266; 46.8259; 0.2760
55; 0.1327; 0.1293; 46.8185; 0.2775
56; 0.1328; 0.1300; 46.5679; 0.2796
57; 0.1324; 0.1297; 46.3345; 0.2804
58; 0.1320; 0.1297; 46.3738; 0.2800
59; 0.1315; 0.1385; 46.0323; 0.2871
60; 0.1316; 0.1266; 47.0715; 0.2755
61; 0.1314; 0.1282; 46.9413; 0.2769
62; 0.1303; 0.1243; 47.2214; 0.2733
63; 0.1308; 0.1253; 47.0863; 0.2747
64; 0.1306; 0.1274; 47.2386; 0.2756
65; 0.1301; 0.1295; 46.7939; 0.2795
66; 0.1300; 0.1272; 47.2017; 0.2753
67; 0.1301; 0.1240; 47.3614; 0.2730
68; 0.1292; 0.1270; 47.0052; 0.2763
69; 0.1296; 0.1298; 46.2805; 0.2810
70; 0.1297; 0.1250; 46.9094; 0.2746
71; 0.1295; 0.1240; 47.4106; 0.2735
72; 0.1284; 0.1292; 47.0003; 0.2785
73; 0.1287; 0.1265; 47.3049; 0.2751
74; 0.1287; 0.1231; 47.6047; 0.2717
75; 0.1282; 0.1259; 46.9757; 0.2761
76; 0.1285; 0.1259; 47.3664; 0.2745
77; 0.1286; 0.1222; 47.3049; 0.2709
78; 0.1280; 0.1267; 46.6416; 0.2780
79; 0.1273; 0.1257; 47.1280; 0.2758
80; 0.1276; 0.1304; 46.5384; 0.2799
81; 0.1277; 0.1220; 47.8626; 0.2697
82; 0.1276; 0.1247; 47.2976; 0.2730
83; 0.1278; 0.1249; 47.4057; 0.2740
84; 0.1279; 0.1235; 47.3516; 0.2731
85; 0.1276; 0.1236; 47.4818; 0.2725
86; 0.1267; 0.1228; 47.7717; 0.2711
87; 0.1272; 0.1249; 47.3983; 0.2740
88; 0.1278; 0.1243; 47.3713; 0.2731
89; 0.1275; 0.1244; 47.3418; 0.2740
90; 0.1267; 0.1287; 46.7767; 0.2793
91; 0.1272; 0.1257; 47.1059; 0.2761
92; 0.1268; 0.1258; 47.4401; 0.2747
93; 0.1271; 0.1261; 47.4499; 0.2745
94; 0.1270; 0.1228; 47.4573; 0.2719
95; 0.1268; 0.1243; 47.4548; 0.2733
96; 0.1256; 0.1219; 47.6685; 0.2697
97; 0.1267; 0.1322; 46.6490; 0.2828
98; 0.1271; 0.1275; 46.6907; 0.2786
99; 0.1263; 0.1227; 47.5531; 0.2709
100; 0.1258; 0.1244; 47.2730; 0.2742
