epoch; loss, validation loss; validation accuracy; validation mae
1; 0.1267; 0.0485; 58.2424; 2.2019
2; 0.0455; 0.0308; 65.1312; 1.6717
3; 0.0392; 0.0199; 70.9660; 1.3215
4; 0.0347; 0.0352; 64.5367; 1.8685
5; 0.0311; 0.0235; 63.9200; 1.4982
6; 0.0281; 0.0139; 76.3463; 1.1047
7; 0.0252; 0.0194; 72.4204; 1.3839
8; 0.0239; 0.0137; 77.1570; 1.0308
9; 0.0219; 0.0109; 78.1201; 0.9571
10; 0.0216; 0.0118; 78.2871; 1.0124
11; 0.0202; 0.0151; 78.7760; 1.1931
12; 0.0194; 0.0118; 78.3486; 1.0259
13; 0.0188; 0.0124; 75.4545; 1.0553
14; 0.0183; 0.0113; 78.8006; 0.9626
15; 0.0175; 0.0092; 79.9872; 0.8592
16; 0.0172; 0.0096; 80.4172; 0.9051
17; 0.0168; 0.0088; 80.4491; 0.8421
18; 0.0163; 0.0088; 80.5351; 0.8422
19; 0.0161; 0.0093; 80.5867; 0.8831
20; 0.0159; 0.0102; 77.0809; 0.9488
21; 0.0152; 0.0102; 79.2477; 0.9155
22; 0.0151; 0.0082; 81.3827; 0.8155
23; 0.0148; 0.0085; 81.4048; 0.8322
24; 0.0145; 0.0085; 80.3680; 0.8349
25; 0.0143; 0.0087; 80.8520; 0.8429
26; 0.0141; 0.0085; 80.6997; 0.8400
27; 0.0140; 0.0086; 80.4491; 0.8376
28; 0.0139; 0.0081; 81.8101; 0.8050
29; 0.0137; 0.0080; 81.4367; 0.8004
30; 0.0135; 0.0078; 81.9502; 0.7869
31; 0.0134; 0.0085; 80.3140; 0.8400
32; 0.0132; 0.0083; 80.7439; 0.8232
33; 0.0132; 0.0079; 81.3188; 0.7909
34; 0.0130; 0.0080; 81.9035; 0.8022
35; 0.0129; 0.0077; 82.0386; 0.7781
36; 0.0128; 0.0081; 81.1468; 0.8079
37; 0.0128; 0.0077; 81.5645; 0.7810
38; 0.0126; 0.0078; 81.4637; 0.7858
39; 0.0126; 0.0078; 82.1615; 0.7750
40; 0.0124; 0.0075; 82.0779; 0.7623
41; 0.0124; 0.0075; 81.9698; 0.7663
42; 0.0124; 0.0075; 82.2057; 0.7608
43; 0.0122; 0.0081; 82.3015; 0.7997
44; 0.0123; 0.0078; 82.2671; 0.7864
45; 0.0121; 0.0077; 82.2597; 0.7745
46; 0.0122; 0.0075; 81.9600; 0.7638
47; 0.0121; 0.0075; 82.2204; 0.7576
48; 0.0120; 0.0076; 82.3924; 0.7607
49; 0.0119; 0.0075; 82.3408; 0.7561
50; 0.0120; 0.0074; 82.4612; 0.7549
