epoch; loss, validation loss; validation accuracy; validation mae
1; 0.1321; 0.1278; 39.2074; 0.0180
2; 0.1109; 0.0909; 47.4057; 0.0151
3; 0.1056; 0.1163; 41.2957; 0.0172
4; 0.1024; 0.1072; 42.2858; 0.0165
5; 0.0991; 0.0840; 49.1328; 0.0146
6; 0.0979; 0.1071; 43.9908; 0.0163
7; 0.0954; 0.0815; 51.0343; 0.0141
8; 0.0945; 0.0842; 49.0517; 0.0145
9; 0.0930; 0.0841; 48.7839; 0.0146
10; 0.0915; 0.0834; 49.0001; 0.0145
11; 0.0916; 0.0868; 48.3564; 0.0147
12; 0.0901; 0.0880; 47.7398; 0.0149
13; 0.0891; 0.0835; 49.9214; 0.0144
14; 0.0881; 0.0785; 51.3733; 0.0140
15; 0.0871; 0.0815; 49.7568; 0.0142
16; 0.0861; 0.0861; 48.0321; 0.0148
17; 0.0852; 0.0940; 44.5116; 0.0155
18; 0.0840; 0.0890; 48.1402; 0.0149
19; 0.0837; 0.0773; 51.3782; 0.0138
20; 0.0826; 0.1044; 41.3497; 0.0165
21; 0.0815; 0.0972; 44.7032; 0.0157
22; 0.0807; 0.0860; 49.3490; 0.0145
23; 0.0797; 0.0830; 49.7838; 0.0144
24; 0.0793; 0.0841; 49.4374; 0.0145
25; 0.0783; 0.0832; 49.2212; 0.0144
26; 0.0776; 0.0931; 45.5385; 0.0154
27; 0.0766; 0.0945; 45.3395; 0.0155
28; 0.0766; 0.0932; 46.2534; 0.0153
29; 0.0750; 0.0801; 51.0589; 0.0140
30; 0.0755; 0.1001; 43.7156; 0.0160
31; 0.0745; 0.0808; 50.5945; 0.0141
32; 0.0733; 0.0928; 46.5802; 0.0152
33; 0.0728; 0.0794; 51.2259; 0.0140
34; 0.0723; 0.0892; 48.0862; 0.0149
35; 0.0721; 0.0832; 49.4153; 0.0144
36; 0.0713; 0.0919; 46.6121; 0.0152
37; 0.0710; 0.0884; 48.3736; 0.0148
38; 0.0708; 0.0852; 48.2188; 0.0146
39; 0.0700; 0.0857; 49.2482; 0.0146
40; 0.0696; 0.0954; 45.7326; 0.0155
41; 0.0696; 0.0814; 50.4176; 0.0141
42; 0.0683; 0.0897; 47.6120; 0.0149
43; 0.0683; 0.0877; 47.3835; 0.0148
44; 0.0680; 0.0911; 46.7227; 0.0151
45; 0.0677; 0.0824; 50.4471; 0.0142
46; 0.0674; 0.0853; 49.0615; 0.0145
47; 0.0667; 0.0879; 48.4572; 0.0148
48; 0.0665; 0.1251; 36.5713; 0.0182
49; 0.0661; 0.0876; 48.7495; 0.0147
50; 0.0663; 0.0885; 48.3957; 0.0148
